OG	Tcas	Dmel
OG0003983	TC032845	FBgn0050438
OG0003186	TC014104	FBgn0037972
OG0007691	TC003905,TC013662,TC013661,TC014147	FBgn0034197
OG0001122	TC007989	FBgn0031623,FBgn0011290
OG0004823	TC016310	FBgn0036681
OG0002756	TC004819	FBgn0032513
OG0002740	TC007055	FBgn0015399
OG0003074	TC003707	FBgn0286204
OG0003602	TC034543	FBgn0039054
OG0004835	TC015976	FBgn0031450
OG0005378	TC001431	FBgn0086778
OG0001009	TC015069	FBgn0030982,FBgn0051715
OG0002518	TC007870	FBgn0031885
OG0003047	TC009316	FBgn0037634
OG0003601	TC030602	FBgn0027526
OG0005079	TC031504	FBgn0061360
OG0001640	TC015937	FBgn0261385
OG0002590	TC011703	FBgn0032075
OG0004475	TC005724	FBgn0033846
OG0000215	TC031001	FBgn0051163,FBgn0039002,FBgn0263117
OG0004679	TC004496	FBgn0033354
OG0006740	TC032314	FBgn0036643
OG0000399	TC033960	FBgn0261705
OG0001219	TC011029	FBgn0034196,FBgn0039163
OG0006823	TC013115	FBgn0036366
OG0003206	TC031895	FBgn0038028
OG0000953	TC030741	FBgn0051550
OG0005446	TC012481	FBgn0259704
OG0001637	TC004626,TC006568	FBgn0261274
OG0001858	TC004820	FBgn0036415,FBgn0004432
OG0006613	TC000619	FBgn0036909
OG0002017	TC030543	FBgn0040337
OG0002609	TC007497	FBgn0004868
OG0000406	TC031808,TC003729,TC031279,TC013296	FBgn0034788
OG0002400	TC001084	FBgn0037265
OG0005302	TC000338	FBgn0085271
OG0006869	TC015591	FBgn0036262
OG0006445	TC032034	FBgn0030660
OG0005252	TC011204	FBgn0028697
OG0001946	TC004000	FBgn0035915,FBgn0052351
OG0002795	TC014468	FBgn0004837
OG0002250	TC008296	FBgn0037000
OG0004200	TC001348	FBgn0030063
OG0001286	TC012196	FBgn0013348,FBgn0033027
OG0002772	TC010441	FBgn0028527
OG0001491	TC005186	FBgn0014141
OG0007365	TC033217,TC014667	FBgn0264357
OG0000373	TC002960	FBgn0052485,FBgn0052407,FBgn0053523,FBgn0036085
OG0002821	TC006361	FBgn0028375
OG0002438	TC031481	FBgn0016076
OG0002025	TC007375	FBgn0024364
OG0001682	TC003349	FBgn0263102
OG0002797	TC030607	FBgn0001978
OG0003843	TC007229	FBgn0029176
OG0006635	TC014410	FBgn0004623
OG0008055	TC013160	FBgn0050052
OG0001654	TC013586	FBgn0261885
OG0004680	TC011565	FBgn0033351
OG0003777	TC033934	FBgn0004359
OG0000080	TC034745	FBgn0261363
OG0003872	TC033796	FBgn0039689
OG0001473	TC010993	FBgn0036029,FBgn0030722
OG0004990	TC011262	FBgn0004882
OG0003556	TC014995	FBgn0027575
OG0004313	TC001718	FBgn0034716
OG0005426	TC000150	FBgn0259171
OG0002698	TC015397	FBgn0032346
OG0003456	TC000847	FBgn0024329
OG0002546	TC013006	FBgn0013531
OG0004988	TC007194	FBgn0000625
OG0000670	TC010850	FBgn0011656
OG0005982	TC004121	FBgn0265178
OG0001970	TC004652	FBgn0053003
OG0002426	TC013469	FBgn0260470
OG0000631	TC011061,TC031404,TC011062	FBgn0027106
OG0004214	TC004803	FBgn0010269
OG0007737	TC009713	FBgn0036710
OG0006734	TC034634	FBgn0000017
OG0003044	TC015474	FBgn0037624
OG0001669	TC004697	FBgn0262582
OG0008047	TC006675	FBgn0260760
OG0000353	TC003178,TC003279	FBgn0036751,FBgn0036752,FBgn0033952
OG0007370	TC000912	FBgn0260642
OG0003693	TC007473	FBgn0051119
OG0004795	TC034458	FBgn0030151
OG0005000	TC032626	FBgn0004607
OG0002489	TC012661	FBgn0031818
OG0000286	TC011385,TC011090,TC034503	FBgn0000261,FBgn0032061
OG0005218	TC001306	FBgn0052176
OG0001776	TC032110,TC003242	FBgn0267435
OG0003357	TC001230	FBgn0038407
OG0002973	TC014105	FBgn0037475
OG0004695	TC009390	FBgn0021995
OG0005829	TC003256	FBgn0035035
OG0001966	TC015686	FBgn0052506,FBgn0031116
OG0005018	TC033023	FBgn0033809
OG0001337	TC003327	FBgn0052699
OG0005715	TC034478	FBgn0050274
OG0001811	TC030463,TC030001	FBgn0004552
OG0005396	TC030783	FBgn0250753
OG0003129	TC012273	FBgn0004889
OG0003520	TC032203	FBgn0038837
OG0007146	TC001303	FBgn0040650
OG0000680	TC033681	FBgn0050375,FBgn0033277,FBgn0050371
OG0004514	TC032181	FBgn0033773
OG0003735	TC004532	FBgn0039336
OG0003910	TC001092	FBgn0015221
OG0006799	TC003870	FBgn0036446
OG0005082	TC032748	FBgn0029504
OG0004941	TC014707	FBgn0031098
OG0004259	TC009328	FBgn0034577
OG0004620	TC013579	FBgn0033483
OG0004995	TC014023	FBgn0003124
OG0000510	TC006152	FBgn0041781
OG0003390	TC009543	FBgn0038490
OG0001962	TC007077,TC003191	FBgn0005658
OG0005581	TC006824	FBgn0261588
OG0007198	TC013495	FBgn0031566
OG0007158	TC009122	FBgn0031640
OG0005348	TC013528	FBgn0086444
OG0007645	TC000664,TC000665,TC000666,TC000887	FBgn0052483,FBgn0035154
OG0007413	TC014498,TC014497,TC004546,TC004547	FBgn0052405,FBgn0020642
OG0003683	TC006900	FBgn0039233
OG0005616	TC004369	FBgn0261859
OG0000182	TC006392,TC006393,TC006391	FBgn0039840,FBgn0036727,FBgn0029733
OG0001232	TC007685	FBgn0031161,FBgn0039343
OG0001222	TC001433	FBgn0039187
OG0007376	TC011477,TC033344	FBgn0053556
OG0004965	TC014054	FBgn0031663
OG0004165	TC016323	FBgn0040319
OG0001568	TC010603	FBgn0085414
OG0005022	TC011254	FBgn0039349
OG0000937	TC006274	FBgn0037107,FBgn0017590
OG0003836	TC011352	FBgn0039627
OG0001799	TC015854	FBgn0035290
OG0002448	TC015134	FBgn0002525
OG0005799	TC000872	FBgn0034923
OG0007142	TC033818	FBgn0031114
OG0000226	TC033792	FBgn0039817,FBgn0033387,FBgn0050345,FBgn0050344,FBgn0033388
OG0004758	TC014863	FBgn0039911
OG0006274	TC016223	FBgn0035529
OG0001039	TC011428	FBgn0028543,FBgn0054003
OG0002348	TC015956	FBgn0028436
OG0000155	TC034010	FBgn0046999,FBgn0025827,FBgn0034162,FBgn0034165
OG0004704	TC031506	FBgn0033260
OG0001359	TC005479	FBgn0050463
OG0004270	TC004638	FBgn0034602
OG0001862	TC001667	FBgn0001250
OG0006076	TC009744	FBgn0267972
OG0001381	TC002138,TC014181	FBgn0020391
OG0005917	TC030678	FBgn0263757
OG0003363	TC010122	FBgn0038424
OG0000503	TC033819	FBgn0010314
OG0002106	TC003619	FBgn0024992
OG0003754	TC011549	FBgn0039385
OG0005099	TC012663	FBgn0037550
OG0000580	TC010895,TC031998,TC012913	FBgn0038799
OG0007074	TC013691	FBgn0035713
OG0002076	TC011404	FBgn0003079
OG0002460	TC014715	FBgn0031745
OG0004875	TC001338	FBgn0002917
OG0004252	TC007680	FBgn0030218
OG0005947	TC010857	FBgn0264339
OG0001005	TC014256	FBgn0041092
OG0005985	TC013521	FBgn0265187
OG0003770	TC001302	FBgn0039430
OG0005777	TC008912	FBgn0003008
OG0002544	TC031158	FBgn0031981
OG0004968	TC008271	FBgn0031660
OG0007709	TC009844	FBgn0260462
OG0003104	TC013863	FBgn0014023
OG0007454	TC034819,TC032977	FBgn0003575
OG0005279	TC003717	FBgn0010247
OG0000729	TC032023,TC032067,TC005521	FBgn0085370
OG0004318	TC014758	FBgn0034243
OG0005001	TC007659	FBgn0003950
OG0005925	TC030048	FBgn0263911
OG0001931	TC032346	FBgn0036043
OG0003076	TC015733	FBgn0037680
OG0001611	TC011351,TC007441	FBgn0259818
OG0002822	TC033637	FBgn0032582
OG0006506	TC011619	FBgn0030791
OG0003045	TC007995	FBgn0037626
OG0004919	TC011311	FBgn0000611
OG0000552	TC002895	FBgn0037592,FBgn0051454,FBgn0051259
OG0000920	TC012311	FBgn0031286
OG0005268	TC014638	FBgn0083978
OG0004612	TC013789	FBgn0033457
OG0000245	TC034656	FBgn0035412,FBgn0260430,FBgn0052284,FBgn0260026
OG0005419	TC008156	FBgn0259146
OG0000124	TC032949	FBgn0262100,FBgn0053113,FBgn0015831
OG0005854	TC033317	FBgn0015801
OG0006316	TC007264	FBgn0021742
OG0004290	TC007178	FBgn0034654
OG0006858	TC033419	FBgn0002466
OG0004799	TC004745	FBgn0003892
OG0001978	TC034332	FBgn0015600
OG0007893	TC007134,TC007133,TC007132	FBgn0025334
OG0003298	TC000446	FBgn0038256
OG0007575	TC002656,TC004081,TC015398,TC031051,TC003059,TC033512	FBgn0039879,FBgn0083979
OG0000764	TC031982	FBgn0261564
OG0007891	TC015682,TC015681	FBgn0027376
OG0004392	TC009150	FBgn0034058
OG0001339	TC007254	FBgn0030167
OG0003169	TC014996	FBgn0046225
OG0004296	TC009967	FBgn0034646
OG0002558	TC006312	FBgn0015299
OG0002309	TC014790	FBgn0037116
OG0005623	TC006188	FBgn0261938
OG0007060	TC001257	FBgn0035754
OG0006479	TC008881	FBgn0011741
OG0002844	TC034685	FBgn0032633
OG0000454	TC000611	FBgn0029863,FBgn0023525,FBgn0029608
OG0004364	TC034877	FBgn0050100
OG0004458	TC033720	FBgn0005613
OG0001822	TC007283	FBgn0030320
OG0000961	TC034530,TC013020	FBgn0037327
OG0006451	TC005988	FBgn0030654
OG0000664	TC032117	FBgn0027356
OG0003913	TC010201	FBgn0260440
OG0000219	TC030715,TC032056,TC004597,TC000393,TC001255	FBgn0029896
OG0005597	TC012618	FBgn0261673
OG0003960	TC004918	FBgn0032961
OG0007272	TC007702	FBgn0031304
OG0002265	TC006236	FBgn0037024
OG0006166	TC009872	FBgn0022702
OG0004317	TC014602	FBgn0034697
OG0001311	TC015502,TC004313	FBgn0011589
OG0004636	TC009250	FBgn0023180
OG0002596	TC008606	FBgn0026439
OG0004007	TC033532	FBgn0034520
OG0008003	TC009281,TC009279	FBgn0086656
OG0005416	TC013712	FBgn0259113
OG0000611	TC007397	FBgn0015622,FBgn0030377,FBgn0264077
OG0003651	TC012578	FBgn0039160
OG0002148	TC009490	FBgn0029778
OG0005202	TC012565	FBgn0004618
OG0005383	TC033769	FBgn0086909
OG0002906	TC011683	FBgn0032775
OG0002514	TC012697	FBgn0031873
OG0000628	TC016005,TC015688	FBgn0041585
OG0005822	TC013623	FBgn0034972
OG0007538	TC009310	FBgn0028516
OG0005592	TC013624	FBgn0261618
OG0005136	TC013670	FBgn0020880
OG0002814	TC004723	FBgn0025678
OG0005548	TC032816	FBgn0261277
OG0005773	TC009299	FBgn0001123
OG0006505	TC007300	FBgn0030798
OG0004302	TC003142	FBgn0034674
OG0002735	TC014481	FBgn0032429
OG0001136	TC014014	FBgn0038088,FBgn0051345
OG0002172	TC007569	FBgn0029839
OG0003578	TC034275	FBgn0053110
OG0000800	TC009848	FBgn0266717
OG0001698	TC002405	FBgn0028552,FBgn0266721
OG0002481	TC012437	FBgn0015623
OG0001734	TC013974	FBgn0263973
OG0006595	TC003479	FBgn0031078
OG0000244	TC013449	FBgn0260003
OG0004500	TC010661	FBgn0033783
OG0002417	TC014886	FBgn0037213
OG0004918	TC013767	FBgn0032949
OG0004461	TC000823	FBgn0033900
OG0005697	TC001742	FBgn0034717
OG0002539	TC005366	FBgn0004177
OG0002286	TC002921	FBgn0037045
OG0007288	TC010244,TC010245,TC010251	FBgn0000473,FBgn0288232,FBgn0033979,FBgn0033978,FBgn0039519,FBgn0033980,FBgn0013772,FBgn0015714,FBgn0033302,FBgn0013771,FBgn0031726,FBgn0033304,FBgn0013773
OG0006881	TC004392	FBgn0036219
OG0006944	TC006037	FBgn0028429
OG0002920	TC014592	FBgn0032819
OG0002224	TC007868	FBgn0031233
OG0002541	TC013508	FBgn0031975
OG0002003	TC003484	FBgn0029525
OG0004459	TC009884	FBgn0033907
OG0005251	TC013930	FBgn0039942
OG0003034	TC004578	FBgn0051460
OG0006671	TC005120	FBgn0036825
OG0002762	TC002177	FBgn0032506
OG0006951	TC008241	FBgn0040475
OG0004834	TC011769	FBgn0002773
OG0006010	TC008320	FBgn0266186
OG0006906	TC013390	FBgn0036147
OG0000361	TC033668,TC014270,TC009318,TC010155	FBgn0004360
OG0005151	TC032865	FBgn0033712
OG0003805	TC001922	FBgn0002441
OG0007090	TC003639	FBgn0035648
OG0007133	TC015425	FBgn0020272
OG0000425	TC012042	FBgn0035227
OG0003785	TC030553	FBgn0003267
OG0007113	TC001563	FBgn0035622
OG0004782	TC013876	FBgn0023213
OG0002542	TC008153	FBgn0031977
OG0003610	TC009207	FBgn0024509
OG0006649	TC009976	FBgn0017578
OG0005128	TC002647	FBgn0033564
OG0004235	TC000140	FBgn0288690
OG0003507	TC004829	FBgn0038811
OG0003049	TC011184	FBgn0037638
OG0005135	TC031642	FBgn0032536
OG0004418	TC008165	FBgn0034001
OG0004386	TC007202	FBgn0034084
OG0001812	TC013058,TC010949	FBgn0011692
OG0004564	TC034643	FBgn0024188
OG0001752	TC030748	FBgn0265003
OG0006083	TC033271	FBgn0270926
OG0005086	TC015070	FBgn0037912
OG0007381	TC034351	FBgn0261836
OG0000506	TC012150,TC001417	FBgn0032289
OG0003845	TC004831	FBgn0028476
OG0003406	TC015243	FBgn0051251
OG0000029	TC004937,TC005130,TC035054,TC004084,TC005230,TC032066,TC004160,TC013415,TC031993	FBgn0003450
OG0003212	TC000739	FBgn0038065
OG0005485	TC014100	FBgn0260653
OG0002280	TC002476	FBgn0028427
OG0007734	TC034620,TC003823	FBgn0037015,FBgn0037012
OG0006731	TC000109	FBgn0004556
OG0001712	TC010817	FBgn0035094
OG0002011	TC008337	FBgn0025639
OG0007671	TC000863,TC032089,TC000701	FBgn0031725
OG0001443	TC012727	FBgn0032388
OG0006852	TC005557	FBgn0036300
OG0002367	TC011992	FBgn0037368
OG0002585	TC004066	FBgn0032033
OG0003187	TC000221	FBgn0037963
OG0002804	TC010824	FBgn0001987
OG0006280	TC015822	FBgn0001257
OG0006668	TC009517	FBgn0036819
OG0002035	TC034798	FBgn0025381
OG0002432	TC005869	FBgn0028694
OG0000909	TC005904,TC005905	FBgn0029804
OG0002838	TC006280	FBgn0032595
OG0006052	TC010540	FBgn0267348
OG0007236	TC007227	FBgn0004242
OG0002726	TC001600	FBgn0015797
OG0001928	TC005345	FBgn0036141
OG0007358	TC014348,TC000170,TC001367,TC001368	FBgn0001089,FBgn0260746
OG0000178	TC003241,TC000772,TC000789,TC032381,TC032397,TC001288	FBgn0027660
OG0005737	TC000527	FBgn0034821
OG0000342	TC004236	FBgn0030215,FBgn0036726,FBgn0263033,FBgn0032365
OG0003716	TC016340	FBgn0039282
OG0001326	TC000967	FBgn0030052
OG0006227	TC009890	FBgn0035430
OG0002071	TC014640	FBgn0023540
OG0003331	TC001090	FBgn0038343
OG0007153	TC007635	FBgn0052499
OG0004961	TC009151	FBgn0034071
OG0007010	TC030734	FBgn0027549
OG0003407	TC008697	FBgn0038533
OG0005599	TC030550	FBgn0261680
OG0002720	TC034816	FBgn0027081
OG0004469	TC031132	FBgn0033859
OG0004824	TC002856	FBgn0061197
OG0002773	TC033199	FBgn0028541
OG0000518	TC000861	FBgn0051814
OG0002389	TC015127	FBgn0037324
OG0000208	TC032686	FBgn0053208
OG0003424	TC000483	FBgn0038592
OG0005825	TC005215	FBgn0035020
OG0001900	TC031030	FBgn0036612
OG0006748	TC034094	FBgn0036621
OG0006443	TC002608	FBgn0027287
OG0001982	TC008016	FBgn0024947
OG0007016	TC006217	FBgn0035850
OG0004323	TC006009	FBgn0034237
OG0004324	TC002359	FBgn0028382
OG0000623	TC009907,TC001673,TC010659	FBgn0034546
OG0002802	TC004120	FBgn0028518
OG0007745	TC015002,TC015001	FBgn0025807
OG0001297	TC013381	FBgn0030691,FBgn0034487
OG0005388	TC004004	FBgn0087011
OG0004253	TC034373	FBgn0050295
OG0004585	TC010003	FBgn0033571
OG0002612	TC015511	FBgn0032170
OG0001841	TC034457,TC032133	FBgn0052600
OG0002523	TC007212	FBgn0031882
OG0004262	TC004876	FBgn0034573
OG0001673	TC030900	FBgn0262636
OG0005790	TC013255	FBgn0034956
OG0003482	TC002556	FBgn0038725
OG0003024	TC011372	FBgn0037566
OG0007102	TC031068	FBgn0016756
OG0007811	TC014951	FBgn0035091
OG0000785	TC012345	FBgn0000541
OG0004197	TC010944	FBgn0030037
OG0005031	TC000088	FBgn0023076
OG0004372	TC008022	FBgn0034060
OG0004627	TC003488	FBgn0013435
OG0006594	TC034861	FBgn0031069
