OG	Tcas	Dmel
EIB8G	TC034457	FBgn0038282
EIB8H	TC004556	FBgn0010258,FBgn0004903,FBgn0001215,FBgn0004237
EIB8Q	TC006203	FBgn0050421
EIB9B	TC000225	FBgn0038977
EIB9H	TC011602	FBgn0032299
EIB9K	TC013013	FBgn0035985
EIB9P	TC004501	FBgn0261641
EIB9U	TC015544	FBgn0029708
EIB9V	TC015990	FBgn0086605
EIB9X	TC008963	FBgn0005777
EIBAP	TC009310	FBgn0025693
EIBAR	TC004460	FBgn0062411
EIBAT	TC007616	FBgn0250869
EIBAV	TC006745	FBgn0034744
EIBAY	TC013682	FBgn0260753
EIBB3	TC032962,TC031437,TC031438	FBgn0026761
EIBB6	TC007761	FBgn0040752
EIBB7	TC007233	FBgn0030449
EIBCF	TC015374	FBgn0034223
EIBCG	TC031162	FBgn0027582
EIBCI	TC013753	FBgn0024230
EIBCR	TC031262	FBgn0051151
EIBCT	TC008149,TC008150,TC007297	FBgn0033760
EIBCV	TC008437	FBgn0000137
EIBD0	TC034650	FBgn0027359
EIBD4	TC007523	FBgn0034452
EIBD5	TC011106	FBgn0030007
EIBD8	TC012429	FBgn0030693
EIBD9	TC032535	FBgn0264006
EIBDF	TC002890	FBgn0038460
EIBDX	TC008691	FBgn0032217
EIBDY	TC015163	FBgn0266053
EIBDZ	TC002659	FBgn0003319
EIBE0	TC033703	FBgn0026417
EIBE3	TC002713	FBgn0003977
EIBE4	TC033431	FBgn0030474
EIBE7	TC010455	FBgn0005632
EIBEA	TC002065	FBgn0052654
EIBEB	TC005715	FBgn0027491
EIBET	TC005457	FBgn0031070
EIBEU	TC015522	FBgn0032287
EIBEV	TC009501	FBgn0034390
EIBEW	TC012639	FBgn0011676
EIBEY	TC003502	FBgn0022288
EIBEZ	TC007146	FBgn0030706
EIBF0	TC016368	FBgn0035056
EIBF1	TC007074	FBgn0031449
EIBF2	TC013859	FBgn0037643
EIBF4	TC032305	FBgn0284251
EIBF7	TC013790	FBgn0031437
EIBF8	TC008840	FBgn0027498
EIBFA	TC014607	FBgn0265190
EIBFE	TC013591	FBgn0039304
EIBFF	TC013882	FBgn0030530
EIBFG	TC004667	FBgn0051635
EIBFH	TC008844	FBgn0033936
EIBFJ	TC032585,TC032587,TC010353	FBgn0035815
EIBFM	TC034433,TC035053,TC004661,TC000175	FBgn0266111,FBgn0004577,FBgn0038469
EIBFW	TC014416	FBgn0003557
EIBFX	TC034177	FBgn0004456
EIBG0	TC034675	FBgn0032036
EIBG1	TC034996,TC031879,TC031049,TC031063	FBgn0030816,FBgn0030817
EIBG3	TC015513,TC006133	FBgn0030318
EIBG6	TC007805,TC007816	FBgn0003479
EIBG7	TC002407	FBgn0037530
EIBG8	TC032338	FBgn0266801
EIBG9	TC002895	FBgn0037592,FBgn0051259
EIBGC	TC006229	FBgn0041712,FBgn0034856,FBgn0038151
EIBGE	TC003619	FBgn0024992
EIBGG	TC015633	FBgn0034681,FBgn0029709
EIBGR	TC011941	FBgn0261386
EIBHM	TC005725	FBgn0037862,FBgn0010100
EIBHQ	TC012597	FBgn0038063
EIBHR	TC008064,TC008062	FBgn0004567
EIBHU	TC006701	FBgn0013717
EIBHV	TC010564	FBgn0003162
EIBHW	TC013629	FBgn0039120
EIBI8	TC031853	FBgn0010768,FBgn0267337
EIBI9	TC009447	FBgn0038630
EIBK7	TC000825	FBgn0266581
EIBKJ	TC005685	FBgn0037976
EIBKS	TC012492	FBgn0038872
EIBKT	TC014029	FBgn0051759
EIBM4	TC001773	FBgn0028468
EIBMD	TC009839	FBgn0034503
EIBMH	TC001945	FBgn0030605
EIBMJ	TC004416	FBgn0259222
EIBMK	TC015175	FBgn0030503
EIBN8	TC004565	FBgn0052547
EIBNN	TC014461	FBgn0013720
EIBNQ	TC014301	FBgn0261509
EIBNR	TC006132	FBgn0030417
EIBNT	TC000948	FBgn0027562
EIBPA	TC005330	FBgn0039790
EIBPB	TC012891	FBgn0037073
EIBPC	TC032930	FBgn0264711
EIBPE	TC030731	FBgn0028646
EIBPH	TC008785	FBgn0031534
EIBPI	TC033268	FBgn0261811
EIBPJ	TC004140	FBgn0038320
EIBPK	TC002068	FBgn0036014,FBgn0036016
EIBRW	TC007765	FBgn0034205,FBgn0031456
EIBRX	TC012354	FBgn0265189
EIBSV	TC033052	FBgn0015777,FBgn0038690
EIBSZ	TC002083	FBgn0085357,FBgn0052549
EIBU3	TC000480	FBgn0039380
EIBU5	TC007791	FBgn0032444
EIBUA	TC005764	FBgn0266282
EIBUF	TC034892	FBgn0038870
EIBUR	TC013867	FBgn0025724
EIBUS	TC004801	FBgn0038659
EIBUT	TC008903	FBgn0085453,FBgn0085452
EIBUU	TC013685,TC013684	FBgn0027592
EIBUW	TC003187	FBgn0033507
EIBUZ	TC003517	FBgn0259199
EIBV0	TC033656	FBgn0043455
EIBV3	TC008221	FBgn0051858,FBgn0030703
EIBV5	TC013245	FBgn0000659
EIBV7	TC008122	FBgn0030850
EIBVB	TC011566	FBgn0036964
EIBVC	TC014733	FBgn0039555
EIBVD	TC001231	FBgn0033737
EIBW4	TC033459	FBgn0033724
EIBWD	TC031655	FBgn0027615
EIBWH	TC000929	FBgn0015778
EIBWI	TC015687	FBgn0031310
EIBWJ	TC007171	FBgn0037377
EIBWM	TC006457	FBgn0035538
EIBWN	TC000109	FBgn0004556
EIBWP	TC007695	FBgn0031550
EIBWZ	TC009707	FBgn0034401
EIBX0	TC010563	FBgn0034259
EIBX1	TC007940,TC007941	FBgn0032729
EIBX2	TC014972	FBgn0037299
EIBX3	TC009182	FBgn0014024
EIBX4	TC013789	FBgn0033457
EIBX5	TC016288	FBgn0038428
EIBX9	TC003628	FBgn0050021
EIBXD	TC011127	FBgn0040372
EIBXP	TC014537	FBgn0034389
EIBY3	TC014692	FBgn0036101
EIBY8	TC014368	FBgn0037973
EIBY9	TC003829	FBgn0283469
EIBYA	TC007153	FBgn0260861
EIBYB	TC014396	FBgn0027515
EIBYE	TC003524	FBgn0032162,FBgn0032160
EIBYF	TC009470	FBgn0052703
EIBZF	TC034777	FBgn0027493
EIBZM	TC015935	FBgn0022213
EIC0C	TC030701	FBgn0086906
EIC0G	TC000590	FBgn0038145
EIC1H	TC003373	FBgn0013726
EIC1K	TC031941	FBgn0264001
EIC1M	TC009139	FBgn0050491
EIC20	TC034123	FBgn0030801
EIC2C	TC011685	FBgn0031287
EIC2J	TC008833	FBgn0028473
EIC2K	TC014265	FBgn0035050
EIC3H	TC014110	FBgn0015794
EIC3J	TC005882	FBgn0023521
EIC3T	TC010817	FBgn0035094
EIC42	TC016280	FBgn0260942
EIC5D	TC003909	FBgn0030915
EIC7F	TC008045	FBgn0029903
EIC7H	TC015057	FBgn0026630
EIC7N	TC007008	FBgn0036020
EIC7P	TC034503,TC011385,TC011090	FBgn0000261,FBgn0032061
EIC81	TC010609	FBgn0041789
EIC87	TC032855	FBgn0036376
EIC89	TC013055	FBgn0013576
EIC8E	TC015216	FBgn0037004,FBgn0037005,FBgn0035400
EIC8J	TC001293	FBgn0051482,FBgn0051286
EIC8K	TC005004	FBgn0037632
EIC8N	TC012379,TC012380	FBgn0032074
EIC8S	TC007615	FBgn0030655
EICC0	TC005756	FBgn0038649
EICC1	TC007042	FBgn0031426
EICC2	TC007226	FBgn0028370
EICC9	TC000687,TC013186	FBgn0002778,FBgn0039487
EICCG	TC014601	FBgn0034270
EICCI	TC013501	FBgn0261648,FBgn0000287
EICCN	TC003226	FBgn0028741
EICCV	TC014111	FBgn0040233,FBgn0040232
EICCW	TC002530	FBgn0030552
EICD3	TC015397	FBgn0032346
EICD4	TC015208	FBgn0029851
EICDS	TC013788	FBgn0260779
EICDU	TC030555	FBgn0040239
EICE3	TC007725	FBgn0011277
EICE5	TC004651,TC030627	FBgn0265298
EICE9	TC015556	FBgn0031957
EICEA	TC001148	FBgn0039835
EICEC	TC001146	FBgn0003209
EICEF	TC000768	FBgn0032053
EICEJ	TC013786	FBgn0025712
EICEM	TC009770	FBgn0039743
EICEP	TC034821	FBgn0053544
EICER	TC004125	FBgn0032790
EICET	TC006286	FBgn0035206
EICF0	TC007333	FBgn0037217
EICF1	TC007128	FBgn0036937
EICF3	TC011922	FBgn0035426,FBgn0029067,FBgn0033322
EICF5	TC005229	FBgn0029959
EICF6	TC008223	FBgn0034858
EICF9	TC007192	FBgn0036374
EICFF	TC034414	FBgn0038303
EICFK	TC032298	FBgn0035452
EICFR	TC004855	FBgn0284252
EICGP	TC032117	FBgn0027356
EICGR	TC004975	FBgn0035336
EICGW	TC014417	FBgn0283503
EICGX	TC013494	FBgn0053526
EICGY	TC008035	FBgn0032018
EICHD	TC009462	FBgn0015372
EICHV	TC008015	FBgn0023175
EICJ3	TC013604	FBgn0027335
EICJ6	TC015955	FBgn0037468
EICKQ	TC031425	FBgn0026722
EICKS	TC016005	FBgn0041585
EICKT	TC000610	FBgn0263241
EICKU	TC011653	FBgn0034660
EICKV	TC003986	FBgn0003731
EICKX	TC014741	FBgn0035625
EICKZ	TC032811	FBgn0262127
EICM0	TC014371	FBgn0052392
EICMK	TC005831	FBgn0038106
EICMM	TC009208	FBgn0031474
EICMT	TC011023	FBgn0027091
EICMU	TC032734	FBgn0031099
EICMV	TC013517	FBgn0037135
EICN7	TC012660	FBgn0052104
EICNE	TC032118	FBgn0264493
EICNF	TC000237	FBgn0262737
EICNZ	TC002948,TC002884	FBgn0028325,FBgn0029722
EICP0	TC014228,TC014229,TC014230,TC014231	FBgn0031418,FBgn0032609,FBgn0031417
EICPG	TC014299	FBgn0032725
EICPI	TC013003	FBgn0035918
EICPK	TC009550	FBgn0264751,FBgn0264816
EICQ3	TC008320	FBgn0266186
EICQ5	TC031250	FBgn0033972
EICQ6	TC034347	FBgn0039421,FBgn0086361,FBgn0002645
EICQ7	TC000478	FBgn0038146
EICQC	TC004690	FBgn0019830
EICQD	TC015408	FBgn0061359
EICQG	TC033036,TC033037	FBgn0028692
EICQJ	TC011372	FBgn0037566
EICQM	TC003445	FBgn0287696
EICR6	TC007671	FBgn0034748
EICR8	TC009796	FBgn0013954
EICR9	TC009722	FBgn0037834,FBgn0038189,FBgn0038188,FBgn0031592
EICRB	TC034370	FBgn0260943
EICRC	TC000570	FBgn0036892
EICRD	TC014245	FBgn0029924,FBgn0034628,FBgn0034629,FBgn0027572
EICRJ	TC012191	FBgn0004876
EICSS	TC034595	FBgn0031639
EICST	TC008521	FBgn0030327
EICSV	TC030908	FBgn0052137
EICTI	TC030599	FBgn0031711
EICTP	TC006020	FBgn0030395
EICTY	TC014120	FBgn0035537
EICW4	TC007636	FBgn0031505
EICW6	TC012638	FBgn0051109
EICXG	TC030914	FBgn0030343
EICXM	TC034460	FBgn0001253
EICY1	TC015139,TC001014	FBgn0029791
EICY7	TC015016	FBgn0004049
EICYC	TC003485	FBgn0034583
EICYM	TC009963	FBgn0262166
EICYP	TC008061	FBgn0013548
EICYQ	TC000441	FBgn0003720
EICYR	TC013531	FBgn0086442
EICYU	TC013541	FBgn0031257
EICYV	TC030546	FBgn0000477
EICYW	TC005164	FBgn0263346
EICYZ	TC001214	FBgn0037710
EICZ4	TC014327	FBgn0022023
EICZ6	TC000331	FBgn0037467
EICZC	TC012218	FBgn0015286
EICZF	TC003234	FBgn0035853
EICZG	TC003116	FBgn0035586
EICZH	TC002458	FBgn0035900
EICZI	TC008070	FBgn0039862
EICZK	TC012778	FBgn0039244
EICZN	TC015381	FBgn0039131
EICZR	TC007652	FBgn0001994
EICZS	TC005617	FBgn0011659
EICZU	TC013377	FBgn0027535
EICZV	TC003715	FBgn0035445
EICZW	TC003319	FBgn0036922
EID09	TC003964	FBgn0035107
EID0D	TC005404	FBgn0037843
EID0E	TC034795	FBgn0040849
EID0F	TC010568	FBgn0033995
EID0G	TC003774	FBgn0028734
EID0H	TC013715	FBgn0028421
EID0M	TC008922	FBgn0034957
EID0R	TC033093,TC009557	FBgn0263782
EID14	TC001316	FBgn0035515
EID1G	TC003763	FBgn0039704
EID1I	TC004954,TC014166,TC012587	FBgn0038922,FBgn0034105,FBgn0039358
EID1K	TC000781	FBgn0039132
EID2C	TC012410	FBgn0031536
EID2E	TC003127	FBgn0028474
EID2F	TC010176	FBgn0275436
EID2G	TC030879	FBgn0031990
EID2H	TC014935	FBgn0267350
EID2K	TC000575	FBgn0051457,FBgn0051365
EID2R	TC010228	FBgn0260985
EID2U	TC010759	FBgn0035437
EID2X	TC008012	FBgn0025743
EID3A	TC033750	FBgn0039205
EID3S	TC034143,TC034144,TC005487	FBgn0039736,FBgn0034275
EID3T	TC005389,TC005388	FBgn0013953
EID3Z	TC034146	FBgn0036240
EID40	TC034678,TC013389	FBgn0032178,FBgn0024293
EID45	TC006673	FBgn0003447
EID46	TC030724	FBgn0263133
EID47	TC002263	FBgn0261803
EID49	TC008629	FBgn0001235
EID4T	TC004299	FBgn0039914
EID4Z	TC002908	FBgn0052029
EID50	TC010470	FBgn0052380
EID5M	TC015933	FBgn0037687
EID5P	TC007276	FBgn0028471
EID5Q	TC011417	FBgn0027108
EID5U	TC004607	FBgn0034308
EID5V	TC013884	FBgn0030672
EID60	TC014119	FBgn0031771,FBgn0034251,FBgn0034007
EID6R	TC002852	FBgn0037981
EID6T	TC030662	FBgn0053108
EID7S	TC015299	FBgn0039300
EID83	TC015439	FBgn0040351
EID86	TC011211	FBgn0035697,FBgn0031976
EID9N	TC009842	FBgn0037697,FBgn0037696
EIDAD	TC012505	FBgn0038453
EIDB2	TC009950,TC004989	FBgn0011822,FBgn0053128,FBgn0051661,FBgn0032303,FBgn0032304,FBgn0038506,FBgn0038507,FBgn0033933,FBgn0051928,FBgn0051926,FBgn0032049,FBgn0029093
EIDB5	TC032364	FBgn0004784,FBgn0003091
EIDBT	TC004075	FBgn0038153
EIDCU	TC010127,TC010130	FBgn0032233
EIDDI	TC015530	FBgn0038371
EIDDV	TC015709	FBgn0037544
EIDDW	TC001097	FBgn0259832
EIDDX	TC014503	FBgn0034264
EIDE0	TC033432	FBgn0029783
EIDE1	TC014757	FBgn0039713
EIDE2	TC004679	FBgn0034982
EIDE4	TC010377	FBgn0036987
EIDE5	TC010680	FBgn0031143
EIDE6	TC007744	FBgn0010621
EIDE8	TC001193	FBgn0001259
EIDEJ	TC000140	FBgn0288690
EIDES	TC014342	FBgn0030462,FBgn0041210
EIDF0	TC007499	FBgn0024251
EIDF1	TC000607	FBgn0033149,FBgn0053140,FBgn0050385,FBgn0050384
EIDF7	TC006500	FBgn0030668
EIDFX	TC007202	FBgn0034084
EIDGH	TC013341	FBgn0040005
EIDGI	TC032011	FBgn0034094
EIDGK	TC030912	FBgn0034271
EIDGN	TC012387	FBgn0027795,FBgn0029660,FBgn0035380,FBgn0030684,FBgn0036325,FBgn0033963,FBgn0050357,FBgn0029703
EIDGP	TC015660	FBgn0010551
EIDGQ	TC005927	FBgn0035328
EIDGR	TC008441	FBgn0023512
EIDGU	TC034025	FBgn0262954
EIDGW	TC010658	FBgn0037229
EIDGY	TC002331	FBgn0033961
EIDGZ	TC006526	FBgn0030610
EIDH1	TC012215	FBgn0025558
EIDH5	TC004559,TC004560	FBgn0031489,FBgn0039464,FBgn0034800
EIDH6	TC007799	FBgn0031384
EIDHF	TC010001	FBgn0034797
EIDHK	TC001465	FBgn0067102
EIDHX	TC010002	FBgn0034968
EIDI0	TC005544	FBgn0038280,FBgn0032731
EIDI2	TC030890	FBgn0085442
EIDI4	TC000920	FBgn0000439
EIDIA	TC008402	FBgn0051961
EIDID	TC033769	FBgn0086909
EIDIE	TC000531	FBgn0025742
EIDIF	TC008829	FBgn0031493
EIDJ1	TC002789	FBgn0035975
EIDJA	TC010833	FBgn0033350
EIDJC	TC009326	FBgn0033985
EIDJF	TC008002	FBgn0036330
EIDJU	TC009612	FBgn0039876
EIDKF	TC032251	FBgn0264908
EIDKN	TC009874	FBgn0027599
EIDKY	TC001325	FBgn0033413
EIDKZ	TC007932	FBgn0032987
EIDM2	TC011782	FBgn0035714
EIDM3	TC000795	FBgn0030067
EIDM4	TC008146	FBgn0032479
EIDMI	TC008846	FBgn0037747
EIDMN	TC010672	FBgn0038611
EIDMY	TC035019,TC015030,TC004159	FBgn0086917,FBgn0003486
EIDNY	TC000849	FBgn0036184
EIDP2	TC033144,TC030621	FBgn0067628
EIDP3	TC006810	FBgn0000229
EIDP4	TC009491	FBgn0027548
EIDP5	TC007324	FBgn0036213,FBgn0038281
EIDPF	TC007737	FBgn0053493
EIDQ6	TC002149,TC000091	FBgn0025592
EIDQ7	TC003143	FBgn0035266
EIDR7	TC005490	FBgn0010497,FBgn0028513,FBgn0042126
EIDRC	TC015302	FBgn0030460
EIDRF	TC034689	FBgn0040207
EIDRT	TC032214	FBgn0011260,FBgn0264273
EIDSK	TC010671	FBgn0038672
EIDT4	TC001888	FBgn0005427
EIDT8	TC034426	FBgn0032109
EIDTG	TC003215	FBgn0030808
EIDTI	TC011059	FBgn0000330
EIDTM	TC002933	FBgn0016978
EIDTN	TC002972	FBgn0035519
EIDTP	TC012348	FBgn0037232
EIDTQ	TC005339	FBgn0261985
EIDTX	TC004610	FBgn0038545
EIDU1	TC010121	FBgn0024841
EIDU8	TC000056	FBgn0000370
EIDUA	TC015440	FBgn0028480
EIDUC	TC006139	FBgn0026061
EIDUD	TC003537,TC034589	FBgn0266696
EIDUM	TC002527	FBgn0030109
EIDUN	TC011687	FBgn0024371
EIDUQ	TC009754	FBgn0050502
EIDUR	TC010175	FBgn0033624
EIDUS	TC015364	FBgn0040346
EIDV7	TC013356	FBgn0260856
EIDV9	TC001640	FBgn0067864
EIDVZ	TC008426	FBgn0040344
EIDW1	TC010831	FBgn0262081
EIDW2	TC002585	FBgn0039580,FBgn0287209
EIDW5	TC003582	FBgn0030738
EIDWG	TC032520,TC003443	FBgn0036028
EIDXA	TC007452	FBgn0035142
EIDXE	TC006818	FBgn0039357
EIDXJ	TC010058	FBgn0039683
EIDXK	TC014474	FBgn0287768,FBgn0003448,FBgn0001983
EIDXM	TC014939	FBgn0026411
EIDXN	TC031058	FBgn0034400
EIDXP	TC013878	FBgn0028331
EIDXS	TC006551	FBgn0041723
EIDXT	TC032308	FBgn0020224
EIDZ6	TC011703	FBgn0032075
EIDZE	TC015079	FBgn0038149
EIDZF	TC007647	FBgn0035268
EIDZH	TC001682	FBgn0011207
EIDZI	TC005303	FBgn0267330
EIDZJ	TC030994,TC015462	FBgn0051547,FBgn0036279
EIE0F	TC012645	FBgn0044324
EIE0H	TC015026	FBgn0037448
EIE0Q	TC031337	FBgn0040890
EIE0U	TC001738	FBgn0250823
EIE0V	TC009001	FBgn0034521
EIE0W	TC009836	FBgn0032724
EIE0X	TC015973	FBgn0037648
EIE0Y	TC003021	FBgn0050122
EIE0Z	TC003433	FBgn0033379
EIE10	TC001817	FBgn0000147
EIE11	TC007027	FBgn0066114
EIE13	TC030744	FBgn0011737
EIE1D	TC001173	FBgn0039337
EIE1E	TC008430	FBgn0031011
EIE1I	TC012066	FBgn0050441
EIE26	TC012679,TC012680	FBgn0051561
EIE3J	TC007103	FBgn0024945
EIE3K	TC003477	FBgn0267384
EIE3M	TC015994	FBgn0035952
EIE3Y	TC004390	FBgn0030468
EIE42	TC012737	FBgn0039663
EIE44	TC033836	FBgn0035543
EIE4K	TC006496	FBgn0086371
EIE4Z	TC013089	FBgn0032858
EIE50	TC015653	FBgn0030230
EIE51	TC010589	FBgn0250838
EIE52	TC002681	FBgn0032652
EIE5S	TC012257	FBgn0051774,FBgn0000547
EIE5U	TC002638	FBgn0030081
EIE67	TC033122,TC014296	FBgn0016660,FBgn0261963
EIE6Q	TC009240	FBgn0262871
EIE70	TC000303,TC000302	FBgn0030331
EIE78	TC034381,TC012539	FBgn0033159
EIE7D	TC033567	FBgn0263219
EIE7G	TC033687	FBgn0086604
EIE7M	TC034095,TC030898	FBgn0039094
EIE7U	TC004436	FBgn0036887
EIE7Z	TC007859,TC007860	FBgn0011703
EIE8F	TC012336	FBgn0002354
EIE8G	TC012424	FBgn0032297
EIE8R	TC009392,TC009391	FBgn0030882,FBgn0052495
EIE8S	TC003253,TC003025	FBgn0032482
EIE8T	TC009848	FBgn0266717
EIE8U	TC011181	FBgn0003139
EIE8V	TC010132	FBgn0261599
EIE90	TC005134	FBgn0022774
EIE92	TC034013	FBgn0024248
EIE9B	TC005701	FBgn0020445
EIE9F	TC032257	FBgn0264089
EIE9G	TC032184	FBgn0039688
EIE9H	TC002950,TC003561	FBgn0029737
EIE9M	TC007047	FBgn0031516,FBgn0031515
EIE9R	TC006191	FBgn0010602
EIEBY	TC001919	FBgn0031700
EIEH3	TC010419	FBgn0031918
EIEH5	TC003235	FBgn0039966
EIEH7	TC009163	FBgn0026431
EIEHH	TC006901	FBgn0027574
EIEHZ	TC031061	FBgn0035636
EIEI3	TC011068	FBgn0250871
EIEI5	TC009481	FBgn0033349
EIEIG	TC006548	FBgn0029840
EIEIH	TC011325	FBgn0039488
EIEIK	TC000161	FBgn0019925
EIEJA	TC007348	FBgn0033762
EIEJB	TC010161	FBgn0261609
EIEJC	TC011691	FBgn0035880
EIEJE	TC002259	FBgn0032812
EIEJH	TC016051,TC012868	FBgn0004587
EIEJI	TC008217	FBgn0032214
EIEJP	TC000359	FBgn0010741
EIEJR	TC000418	FBgn0039266
EIEK3	TC030548	FBgn0038871
EIEK4	TC005653	FBgn0036945
EIEK5	TC002461	FBgn0028411
EIEK7	TC008165	FBgn0034001
EIEK8	TC007710	FBgn0030748
EIEKA	TC012081	FBgn0023508
EIEKB	TC005724	FBgn0033846
EIEKF	TC009458	FBgn0035041,FBgn0041621,FBgn0037591,FBgn0037590,FBgn0026386,FBgn0039582
EIEKJ	TC004713,TC004976,TC012783	FBgn0285896,FBgn0011829,FBgn0010389,FBgn0022800
EIEKQ	TC015389	FBgn0038695
EIEKR	TC014759	FBgn0035715
EIEKS	TC006779	FBgn0029887
EIEKT	TC001171	FBgn0038868
EIEKU	TC001142	FBgn0033897
EIEKX	TC003914,TC013184,TC006907	FBgn0034898,FBgn0035348
EIEKY	TC009540	FBgn0035909
EIEKZ	TC012509	FBgn0037958
EIEM1	TC002367	FBgn0029979
EIEM4	TC007584	FBgn0032006
EIEM7	TC031910,TC031843,TC005398,TC016050	FBgn0051613,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053815,FBgn0053818,FBgn0053821,FBgn0053824,FBgn0053827,FBgn0053830,FBgn0053833,FBgn0053836,FBgn0053839,FBgn0053842,FBgn0053845,FBgn0053848,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053863,FBgn0053866,FBgn0014857,FBgn0004828
EIEMC	TC014419	FBgn0266758
EIEMG	TC006037	FBgn0028429,FBgn0032632
EIEMH	TC012417	FBgn0259728
EIEMK	TC001167	FBgn0030876
EIEMM	TC011847	FBgn0085569
EIEMV	TC031195,TC010211,TC014530	FBgn0035770
EIEN4	TC033693	FBgn0037549
EIEN7	TC006492	FBgn0028687
EIENA	TC009011	FBgn0284246
EIEND	TC009438	FBgn0033699
EIENE	TC012857	FBgn0028563,FBgn0028562,FBgn0028561,FBgn0033047
EIENF	TC011538	FBgn0030057
EIENG	TC009425	FBgn0261270
EIENH	TC007177	FBgn0036341
EIENJ	TC015575	FBgn0003141
EIENK	TC009487	FBgn0035631
